2026-06-07 10:31:50 | ml_trading | INFO | Ingesting Binance ZECUSDT 1h (last 365 days)
2026-06-07 10:31:50 | ml_trading | INFO | Database schema initialized
2026-06-07 10:31:50 | ml_trading | INFO | Database initialized at /home/zafka/trade-dashboard/ml_service/storage/database.db
2026-06-07 10:31:50 | ml_trading | INFO | Resuming from timestamp 1780801200001
2026-06-07 10:31:50 | ml_trading | INFO | Binance ZECUSDT 1h: 0 inserted, 0 skipped
2026-06-07 10:31:59 | ml_trading | INFO | Ingesting Binance ZECUSDT 4h (last 365 days)
2026-06-07 10:31:59 | ml_trading | INFO | Database schema initialized
2026-06-07 10:31:59 | ml_trading | INFO | Database initialized at /home/zafka/trade-dashboard/ml_service/storage/database.db
2026-06-07 10:31:59 | ml_trading | INFO | Resuming from timestamp 1780790400001
2026-06-07 10:31:59 | ml_trading | INFO | Binance ZECUSDT 4h: 0 inserted, 0 skipped
2026-06-07 10:32:19 | ml_trading | INFO | Database schema initialized
2026-06-07 10:32:19 | ml_trading | INFO | Database initialized at /home/zafka/trade-dashboard/ml_service/storage/database.db
2026-06-07 10:32:19 | ml_trading | INFO | Starting training for ZECUSDT 1h
2026-06-07 10:33:09 | ml_trading | INFO | Fetched 200 funding rate records for ZECUSDT
2026-06-07 10:33:09 | ml_trading | INFO | Clean dataset: 8544 rows after dropping NaN
2026-06-07 10:33:09 | ml_trading | INFO | Fold 1: train=400, test=50
2026-06-07 10:33:12 | ml_trading | INFO | Fold 2: train=450, test=50
2026-06-07 10:33:20 | ml_trading | INFO | Fold 3: train=500, test=50
2026-06-07 10:33:22 | ml_trading | INFO | Fold 4: train=550, test=50
2026-06-07 10:33:25 | ml_trading | INFO | Fold 5: train=600, test=50
2026-06-07 10:33:31 | ml_trading | INFO | Fold 6: train=650, test=50
2026-06-07 10:33:32 | ml_trading | INFO | Fold 7: train=700, test=50
2026-06-07 10:33:37 | ml_trading | INFO | Fold 8: train=750, test=50
2026-06-07 10:33:40 | ml_trading | INFO | Fold 9: train=800, test=50
2026-06-07 10:33:50 | ml_trading | INFO | Fold 10: train=850, test=50
